#datetime var5
2001-01-01T00:00:00 0
2001-01-01T01:00:00 6.8
2001-01-01T02:00:00 15.6
2001-01-01T03:00:00 26.4
2001-01-01T04:00:00 32.4
2001-01-01T05:00:00 38.4
2001-01-01T06:00:00 44.4
2001-01-01T07:00:00 50.4
2001-01-01T08:00:00 56.4
2001-01-01T09:00:00 62.4
2001-01-01T10:00:00 68.4
2001-01-01T11:00:00 74.4
2001-01-01T12:00:00 80.4
2001-01-01T13:00:00 86.4
2001-01-01T14:00:00 92.4
2001-01-01T15:00:00 98.4
2001-01-01T16:00:00 104.4
2001-01-01T17:00:00 110.4
2001-01-01T18:00:00 116.4
2001-01-01T19:00:00 122.4
2001-01-01T20:00:00 128.4
2001-01-01T21:00:00 134.4
2001-01-01T22:00:00 140.4
2001-01-01T23:00:00 146.4
2001-01-02T00:00:00 152.4
2001-01-02T01:00:00 158.4
2001-01-02T02:00:00 164.4
2001-01-02T03:00:00 170.4
2001-01-02T04:00:00 176.4
2001-01-02T05:00:00 182.4
2001-01-02T06:00:00 188.4
2001-01-02T07:00:00 194.4
2001-01-02T08:00:00 200.4
2001-01-02T09:00:00 206.4
2001-01-02T10:00:00 212.4
2001-01-02T11:00:00 218.4
2001-01-02T12:00:00 224.4
2001-01-02T13:00:00 230.4
2001-01-02T14:00:00 236.4
2001-01-02T15:00:00 242.4
2001-01-02T16:00:00 248.4
2001-01-02T17:00:00 254.4
2001-01-02T18:00:00 260.4
2001-01-02T19:00:00 266.4
2001-01-02T20:00:00 272.4
2001-01-02T21:00:00 278.4
2001-01-02T22:00:00 284.4
2001-01-02T23:00:00 290.4
2001-01-03T00:00:00 296.4
2001-01-03T01:00:00 302.4
2001-01-03T02:00:00 308.4
2001-01-03T03:00:00 314.4
2001-01-03T04:00:00 320.4
2001-01-03T05:00:00 326.4
2001-01-03T06:00:00 332.4
2001-01-03T07:00:00 338.4
2001-01-03T08:00:00 344.4
2001-01-03T09:00:00 350.4
2001-01-03T10:00:00 356.4
2001-01-03T11:00:00 362.4
2001-01-03T12:00:00 368.4
2001-01-03T13:00:00 374.4
2001-01-03T14:00:00 380.4
2001-01-03T15:00:00 386.4
2001-01-03T16:00:00 392.4
2001-01-03T17:00:00 398.4
2001-01-03T18:00:00 404.4
2001-01-03T19:00:00 410.4
2001-01-03T20:00:00 416.4
2001-01-03T21:00:00 422.4
2001-01-03T22:00:00 428.4
2001-01-03T23:00:00 434.4
2001-01-04T00:00:00 440.4
2001-01-04T01:00:00 446.4
2001-01-04T02:00:00 452.4
2001-01-04T03:00:00 458.4
2001-01-04T04:00:00 464.4
2001-01-04T05:00:00 470.4
2001-01-04T06:00:00 476.4
2001-01-04T07:00:00 482.4
2001-01-04T08:00:00 488.4
2001-01-04T09:00:00 494.4
2001-01-04T10:00:00 500.4
2001-01-04T11:00:00 506.4
2001-01-04T12:00:00 512.4
2001-01-04T13:00:00 518.4
2001-01-04T14:00:00 524.4
2001-01-04T15:00:00 530.4
2001-01-04T16:00:00 536.4
2001-01-04T17:00:00 542.4
2001-01-04T18:00:00 548.4
2001-01-04T19:00:00 554.4
2001-01-04T20:00:00 560.4
2001-01-04T21:00:00 566.4
2001-01-04T22:00:00 572.4
2001-01-04T23:00:00 578.4
2001-01-05T00:00:00 584.4
2001-01-05T01:00:00 590.4
2001-01-05T02:00:00 596.4
2001-01-05T03:00:00 602.4
2001-01-05T04:00:00 608.4
2001-01-05T05:00:00 614.4
2001-01-05T06:00:00 620.4
2001-01-05T07:00:00 626.4
2001-01-05T08:00:00 632.4
2001-01-05T09:00:00 638.4
2001-01-05T10:00:00 644.4
2001-01-05T11:00:00 650.4
2001-01-05T12:00:00 656.4
2001-01-05T13:00:00 662.4
2001-01-05T14:00:00 668.4
2001-01-05T15:00:00 674.4
2001-01-05T16:00:00 680.4
2001-01-05T17:00:00 686.4
2001-01-05T18:00:00 692.4
2001-01-05T19:00:00 698.4
2001-01-05T20:00:00 704.4
2001-01-05T21:00:00 710.4
2001-01-05T22:00:00 716.4
2001-01-05T23:00:00 722.4
2001-01-06T00:00:00 728.4
2001-01-06T01:00:00 734.4
2001-01-06T02:00:00 740.4
2001-01-06T03:00:00 746.4
2001-01-06T04:00:00 752.4
2001-01-06T05:00:00 758.4
2001-01-06T06:00:00 764.4
