1991-08-12T09:00:00 25
1991-08-12T11:00:00 30
1991-08-12T13:00:00 45
1991-08-12T15:00:00 55
1991-08-12T17:00:00 30
1991-08-12T19:00:00 20
1991-08-12T21:00:00 15
1991-08-12T23:00:00 10
1991-08-13T01:00:00 5
1991-08-13T03:00:00 5
1991-08-13T05:00:00 10
1991-08-13T07:00:00 30 
1991-08-13T09:00:00 50
1991-08-13T11:00:00 75
1991-08-13T13:00:00 95
1991-08-13T15:00:00 105
1991-08-13T17:00:00 70
1991-08-13T19:00:00 45
1991-08-13T21:00:00 30
1991-08-13T23:00:00 10
1991-08-14T01:00:00 10
1991-08-14T03:00:00 10
1991-08-14T05:00:00 10
1991-08-14T07:00:00 10
1991-08-14T09:00:00 15
1991-08-14T11:00:00 25
1991-08-14T13:00:00 35
1991-08-14T15:00:00 40
1991-08-14T17:00:00 30
1991-08-14T19:00:00 20
1991-08-14T21:00:00 15
1991-08-14T23:00:00 15
1991-08-15T01:00:00 15
1991-08-15T03:00:00 15
1991-08-15T05:00:00 10
1991-08-15T07:00:00 10
1991-08-15T09:00:00 20
1991-08-15T11:00:00 20
1991-08-15T13:00:00 20
1991-08-15T15:00:00 30
1991-08-15T17:00:00 30
1991-08-15T19:00:00 20
1991-08-15T21:00:00 15
1991-08-15T23:00:00 15
1991-08-16T01:00:00 10
1991-08-16T03:00:00 10
1991-08-16T05:00:00 10
1991-08-16T07:00:00 30
1991-08-16T09:00:00 45
1991-08-16T11:00:00 55
1991-08-16T13:00:00 60
1991-08-16T15:00:00 50
1991-08-16T17:00:00 25
1991-08-16T19:00:00 20
1991-08-16T21:00:00 10
1991-08-16T23:00:00 10
1991-08-17T01:00:00 10
1991-08-17T03:00:00 10
1991-08-17T05:00:00 10
1991-08-17T09:00:00 25
